place_id,place_names
3583340,wagon mound
3533290,hope
3512150,carlsbad
3562620,reserve
3570270,santa clara
3568150,san jon
3506830,berino
3551840,newkirk
3548425,middle frisco
3526010,fence lake
3551280,naschitti
3507670,black rock
3525100,escondida
3555595,peak place
3581520,vadito
3518770,crestview
3585485,windmill
3556748,picacho hills
3500940,adelino
3506340,becenti
3563168,rio en medio
3550515,mountain view
3563250,rio lucio
3524540,encinal
3525590,fairacres
3565595,sagar
3533640,hot springs landing
3569410,san miguel
3586210,youngsville
3543300,los luceros
3554675,paa-ko
3557990,placitas
3533850,hurley
3550300,mosquero
3576480,taos ski valley
3524610,encino
3584505,white cliffs
3553620,ojo encino
3535040,jal
3527760,fruitland
3582332,valle vista
3581775,valencia
3536567,la boca
3503820,anthony
3514880,chilili
3542180,lordsburg
3547080,maxwell
3519110,cuartelez
3570460,santa cruz
3583200,virden
3510750,cannon afb
3548480,midway
3518240,costilla
3512010,capulin
3541970,loco hills
3528670,garfield
3571015,san ysidro
3559120,ponderosa pine
3555550,pastura
3567520,san fidel
3559820,pueblitos
3522389,edith enclave
3516585,cochiti lake
3558420,pleasanton
3537862,lake roberts heights
3525870,faywood
3560205,pulpotio bareas
3562900,rincon
3536090,kingston
3504870,arrey
3558910,polvadera
3501640,alamillo
3555605,pecan park
3533130,homestead
3545260,lumberton
3543510,los ojos
3500310,abiquiu
3582710,velarde
3541620,llano del medio
3536555,la bajada
3570390,santa clara pueblo
3503890,anton chico
3522580,el cerro
3515300,chupadero
3550512,mountain view
3580820,tyrone
3530035,golden acres
3566765,sandia heights
3529540,glen acres
3527410,fort wingate
3518310,cotton city
3548270,mesquite
3531190,hachita
3520620,dexter
3539380,las cruces
3530210,grady
3514040,chamberino
3546170,madrone
3514200,chamizal
3508860,brazos
3533122,homer c jones
3522650,el duende
3516560,cochiti
3550615,mount taylor
3577670,tierra amarilla
3540360,la villita
3530770,grenville
3524347,el valle de arroyo seco
3524453,encantado
3576130,talpa
3545890,mcgaffey
3547360,medanales
3521810,duran
3577100,tesuque pueblo
3537860,lake roberts
3573925,south acomita village
3538890,lamy
3501780,alamogordo
3520270,deming
3515440,cimarron
3557510,pinos altos
3539430,las maravillas
3568500,san jose
3514670,chical
3533920,hyde park
3526780,folsom
3582570,vaughn
3512850,causey
3564930,roswell
3575640,sunland park
3574800,springer
3528460,gallup
3562060,raton
3522380,edgewood
3512500,carrizozo
3527340,fort sumner
3585160,willard
3535320,jemez springs
3570670,santa rosa
3544420,loving
3546310,magdalena
3531330,hagerman
3547570,melrose
3585300,williamsburg
3513970,chama
3504030,apache creek
3512844,catalpa canyon
3578650,tome
3514950,chimayo
3550090,mora
3510770,cañon
3507145,bibo
3566330,san antonito
3550720,nadine
3511520,canova
3550790,nageezi
3584740,white rock
3538820,la mesilla
3514810,chili
3571440,seama
3532148,highland meadows
3554710,paguate
3548200,mesita
3506760,bent
3510592,candy kitchen
3576060,tajique
3580540,twin lakes
3544490,lovington
3557160,pinedale
3555900,peñasco
3539332,las campanas
3532940,holloman afb
3572600,sheep springs
3550860,nakaibito
3577950,timberon
3571145,sausal
3564230,rock springs
3537070,laguna
3565560,sacramento
3522625,eldorado at santa fe
3566400,san antonito
3510470,cañada de los alamos
3537875,lake sumner
3566890,sandia knolls
3572770,shiprock
3537490,la jara
3561220,ramah
3510050,caballo
3512430,carnuel
3569645,san pablo
3582640,veguita
