year_month,year,month,moon_fracillum_mean,n_days,tz_hours,tz_sign,state
2012-01,2012,1,0.504516,31,6.00,-1,AL
2012-02,2012,2,0.489310,29,6.00,-1,AL
2012-03,2012,3,0.479355,31,6.00,-1,AL
2012-04,2012,4,0.471000,30,6.00,-1,AL
2012-05,2012,5,0.480323,31,6.00,-1,AL
2012-06,2012,6,0.481000,30,6.00,-1,AL
2012-07,2012,7,0.508065,31,6.00,-1,AL
2012-08,2012,8,0.524516,31,6.00,-1,AL
2012-09,2012,9,0.520333,30,6.00,-1,AL
2012-10,2012,10,0.546452,31,6.00,-1,AL
2012-11,2012,11,0.538667,30,6.00,-1,AL
2012-12,2012,12,0.550323,31,6.00,-1,AL
2013-01,2013,1,0.540323,31,6.00,-1,AL
2013-02,2013,2,0.495357,28,6.00,-1,AL
2013-03,2013,3,0.515161,31,6.00,-1,AL
2013-04,2013,4,0.488333,30,6.00,-1,AL
2013-05,2013,5,0.479355,31,6.00,-1,AL
2013-06,2013,6,0.466667,30,6.00,-1,AL
2013-07,2013,7,0.464516,31,6.00,-1,AL
2013-08,2013,8,0.468065,31,6.00,-1,AL
2013-09,2013,9,0.486667,30,6.00,-1,AL
2013-10,2013,10,0.489355,31,6.00,-1,AL
2013-11,2013,11,0.514667,30,6.00,-1,AL
2013-12,2013,12,0.506452,31,6.00,-1,AL
2014-01,2014,1,0.509677,31,6.00,-1,AL
2014-02,2014,2,0.558929,28,6.00,-1,AL
2014-03,2014,3,0.494839,31,6.00,-1,AL
2014-04,2014,4,0.498333,30,6.00,-1,AL
2014-05,2014,5,0.469677,31,6.00,-1,AL
2014-06,2014,6,0.472333,30,6.00,-1,AL
2014-07,2014,7,0.455484,31,6.00,-1,AL
2014-08,2014,8,0.456774,31,6.00,-1,AL
2014-09,2014,9,0.470000,30,6.00,-1,AL
2014-10,2014,10,0.482581,31,6.00,-1,AL
2014-11,2014,11,0.499667,30,6.00,-1,AL
2014-12,2014,12,0.523548,31,6.00,-1,AL
2015-01,2015,1,0.541290,31,6.00,-1,AL
2015-02,2015,2,0.515000,28,6.00,-1,AL
2015-03,2015,3,0.546452,31,6.00,-1,AL
2015-04,2015,4,0.530000,30,6.00,-1,AL
2015-05,2015,5,0.533548,31,6.00,-1,AL
2015-06,2015,6,0.507667,30,6.00,-1,AL
2015-07,2015,7,0.511290,31,6.00,-1,AL
2015-08,2015,8,0.499355,31,6.00,-1,AL
2015-09,2015,9,0.476667,30,6.00,-1,AL
2015-10,2015,10,0.486129,31,6.00,-1,AL
2015-11,2015,11,0.480667,30,6.00,-1,AL
2015-12,2015,12,0.498387,31,6.00,-1,AL
2016-01,2016,1,0.509677,31,6.00,-1,AL
2016-02,2016,2,0.518966,29,6.00,-1,AL
2016-03,2016,3,0.530968,31,6.00,-1,AL
2016-04,2016,4,0.532333,30,6.00,-1,AL
2016-05,2016,5,0.520968,31,6.00,-1,AL
2016-06,2016,6,0.514333,30,6.00,-1,AL
2016-07,2016,7,0.486452,31,6.00,-1,AL
2016-08,2016,8,0.467742,31,6.00,-1,AL
2016-09,2016,9,0.471333,30,6.00,-1,AL
2016-10,2016,10,0.449355,31,6.00,-1,AL
2016-11,2016,11,0.462333,30,6.00,-1,AL
2016-12,2016,12,0.453226,31,6.00,-1,AL
2017-01,2017,1,0.466774,31,6.00,-1,AL
2017-02,2017,2,0.518929,28,6.00,-1,AL
2017-03,2017,3,0.492903,31,6.00,-1,AL
2017-04,2017,4,0.519667,30,6.00,-1,AL
2017-05,2017,5,0.522903,31,6.00,-1,AL
2017-06,2017,6,0.530667,30,6.00,-1,AL
2017-07,2017,7,0.527097,31,6.00,-1,AL
2017-08,2017,8,0.521935,31,6.00,-1,AL
2017-09,2017,9,0.503667,30,6.00,-1,AL
2017-10,2017,10,0.499032,31,6.00,-1,AL
2017-11,2017,11,0.479000,30,6.00,-1,AL
2017-12,2017,12,0.489032,31,6.00,-1,AL
2018-01,2018,1,0.493226,31,6.00,-1,AL
2018-02,2018,2,0.447857,28,6.00,-1,AL
2018-03,2018,3,0.513871,31,6.00,-1,AL
2018-04,2018,4,0.512333,30,6.00,-1,AL
2018-05,2018,5,0.540323,31,6.00,-1,AL
2018-06,2018,6,0.536000,30,6.00,-1,AL
2018-07,2018,7,0.551935,31,6.00,-1,AL
2018-08,2018,8,0.545161,31,6.00,-1,AL
2018-09,2018,9,0.526000,30,6.00,-1,AL
2018-10,2018,10,0.513871,31,6.00,-1,AL
2018-11,2018,11,0.493000,30,6.00,-1,AL
2018-12,2018,12,0.472258,31,6.00,-1,AL
2019-01,2019,1,0.457419,31,6.00,-1,AL
2019-02,2019,2,0.480357,28,6.00,-1,AL
2019-03,2019,3,0.460323,31,6.00,-1,AL
2019-04,2019,4,0.478333,30,6.00,-1,AL
2019-05,2019,5,0.479355,31,6.00,-1,AL
2019-06,2019,6,0.503333,30,6.00,-1,AL
2019-07,2019,7,0.497419,31,6.00,-1,AL
2019-08,2019,8,0.504516,31,6.00,-1,AL
2019-09,2019,9,0.525000,30,6.00,-1,AL
2019-10,2019,10,0.508065,31,6.00,-1,AL
2019-11,2019,11,0.513000,30,6.00,-1,AL
2019-12,2019,12,0.489677,31,6.00,-1,AL
2020-01,2020,1,0.478710,31,6.00,-1,AL
2020-02,2020,2,0.477241,29,6.00,-1,AL
2020-03,2020,3,0.461935,31,6.00,-1,AL
2020-04,2020,4,0.467333,30,6.00,-1,AL
2020-05,2020,5,0.480968,31,6.00,-1,AL
2020-06,2020,6,0.494333,30,6.00,-1,AL
2020-07,2020,7,0.521290,31,6.00,-1,AL
2020-08,2020,8,0.540323,31,6.00,-1,AL
2020-09,2020,9,0.535667,30,6.00,-1,AL
2020-10,2020,10,0.554194,31,6.00,-1,AL
2020-11,2020,11,0.538667,30,6.00,-1,AL
2020-12,2020,12,0.542903,31,6.00,-1,AL
2021-01,2021,1,0.528387,31,6.00,-1,AL
2021-02,2021,2,0.468571,28,6.00,-1,AL
2021-03,2021,3,0.501290,31,6.00,-1,AL
2021-04,2021,4,0.477333,30,6.00,-1,AL
2021-05,2021,5,0.480323,31,6.00,-1,AL
2021-06,2021,6,0.474333,30,6.00,-1,AL
2021-07,2021,7,0.484516,31,6.00,-1,AL
2021-08,2021,8,0.492258,31,6.00,-1,AL
2021-09,2021,9,0.509000,30,6.00,-1,AL
2021-10,2021,10,0.512903,31,6.00,-1,AL
2021-11,2021,11,0.527667,30,6.00,-1,AL
2021-12,2021,12,0.513871,31,6.00,-1,AL
2022-01,2022,1,0.503548,31,6.00,-1,AL
2022-02,2022,2,0.544286,28,6.00,-1,AL
2022-03,2022,3,0.478387,31,6.00,-1,AL
2022-04,2022,4,0.478000,30,6.00,-1,AL
2022-05,2022,5,0.452581,31,6.00,-1,AL
2022-06,2022,6,0.461333,30,6.00,-1,AL
2022-07,2022,7,0.448065,31,6.00,-1,AL
2022-08,2022,8,0.457742,31,6.00,-1,AL
2022-09,2022,9,0.481333,30,6.00,-1,AL
2022-10,2022,10,0.494516,31,6.00,-1,AL
2022-11,2022,11,0.516000,30,6.00,-1,AL
2022-12,2022,12,0.531613,31,6.00,-1,AL
2023-01,2023,1,0.542581,31,6.00,-1,AL
2023-02,2023,2,0.520714,28,6.00,-1,AL
2023-03,2023,3,0.529677,31,6.00,-1,AL
2023-04,2023,4,0.512667,30,6.00,-1,AL
2023-05,2023,5,0.509032,31,6.00,-1,AL
2023-06,2023,6,0.487333,30,6.00,-1,AL
2023-07,2023,7,0.494839,31,6.00,-1,AL
2023-08,2023,8,0.494516,31,6.00,-1,AL
2023-09,2023,9,0.479667,30,6.00,-1,AL
2023-10,2023,10,0.501290,31,6.00,-1,AL
2023-11,2023,11,0.498667,30,6.00,-1,AL
2023-12,2023,12,0.523871,31,6.00,-1,AL
2024-01,2024,1,0.533871,31,6.00,-1,AL
2024-02,2024,2,0.526552,29,6.00,-1,AL
2024-03,2024,3,0.541613,31,6.00,-1,AL
2024-04,2024,4,0.529667,30,6.00,-1,AL
2024-05,2024,5,0.514516,31,6.00,-1,AL
2024-06,2024,6,0.498667,30,6.00,-1,AL
2024-07,2024,7,0.473871,31,6.00,-1,AL
2024-08,2024,8,0.457097,31,6.00,-1,AL
2024-09,2024,9,0.462333,30,6.00,-1,AL
2024-10,2024,10,0.447742,31,6.00,-1,AL
2024-11,2024,11,0.468333,30,6.00,-1,AL
2024-12,2024,12,0.465806,31,6.00,-1,AL
